=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.02.01 01:41:11 =~=~=~=~=~=~=~=~=~=~=~=
Temperature (In Fahrenheit)       pH       TDS (In PPM)       Turbidity (In NTU)
70.47                            6.96           188                 2412.56
70.47                            6.96           185                 2404.57
70.47                            7.08           187                 2404.57
70.47                            7.14           188                 2404.57
70.36                            7.13           188                 2404.57
70.47                            7.13           188                 2404.57
70.36                            7.13           188                 2412.56
70.36                            7.13           187                 2428.38
70.36                            7.13           185                 2428.38
70.36                            7.13           188                 2428.38
70.47                            7.11           188                 2420.49
70.47                            7.14           187                 2412.56
70.36                            6.96           187                 2412.56
70.36                            6.97           185                 2404.57
70.36                            6.99           185                 2404.57
70.47                            7.13           187                 2404.57
70.47                            7.13           185                 2404.57
70.36                            7.04           188                 2404.57
70.36                            6.97           185                 2404.57
70.47                            6.97           187                 2404.57
70.47                            6.97           185                 2412.56
70.59                            7.14           190                 2412.56
70.59                            6.96           187                 2412.56
70.47                            7.13           185                 2295.83
70.59                            7.13           188                 2304.52
70.59                            6.96           185                 2304.52
70.47                            6.97           188                 2295.83
70.47                            7.02           185                 2287.09
70.47                            7.13           188                 2287.09
70.47                            7.13           188                 2287.09
70.47                            7.13           187                 2295.83
70.47                            7.13           185                 2304.52
70.47                            7.13           188                 2313.15
70.47                            7.14           187                 2304.52
70.47                            7.14           188                 2287.09
70.47                            7.01           188                 2295.83
70.47                            6.97           185                 2313.15
70.47                            6.96           187                 2330.25
70.47                            6.97           185                 2321.72
70.59                            6.96           190                 2313.15
70.47                            6.96           187                 2321.72
70.47                            6.96           183                 2321.72
70.47                            6.96           185                 2321.72
70.47                            6.96           188                 2321.72
70.59                            6.96           187                 2321.72
70.47                            6.96           188                 2330.25
70.47                            6.96           185                 2330.25
70.47                            6.96           185                 2330.25
70.47                            6.96           187                 2330.25
70.47                            6.96           188                 2330.25
70.59                            7.13           185                 2321.72
70.47                            7.13           188                 2321.72
70.59                            7.13           188                 2321.72
70.59                            7.13           188                 2321.72
70.59                            7.11           190                 2321.72
70.47                            6.96           187                 2330.25
70.59                            6.94           188                 2338.72
70.59                            6.96           188                 2338.72
70.47                            6.96           188                 2347.14
70.47                            6.97           187                 2355.50
70.59                            6.96           185                 2355.50
70.59                            6.99           188                 2355.50
70.47                            7.13           185                 2347.14
70.59                            7.13           185                 2338.72
70.59                            7.13           187                 2338.72
70.59                            7.11           188                 2355.50
70.59                            7.01           185                 2363.82
70.59                            6.94           185                 2372.07
70.59                            6.97           188                 2380.28
70.59                            6.99           185                 2347.14
70.47                            7.13           187                 2363.82
