=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.01.31 20:44:36 =~=~=~=~=~=~=~=~=~=~=~=
Temperature (In Fahrenheit)       pH       TDS (In PPM)       Turbidity (In NTU)
66.43                            7.62           125                 2227.13
66.54                            7.79           125                 2245.68
66.43                            7.57           129                 2245.68
66.43                            7.64           129                 2227.13
66.43                            7.59           125                 2227.13
66.31                            7.60           127                 2245.68
66.43                            7.78           129                 2245.68
66.43                            7.81           129                 2245.68
66.43                            7.79           127                 2227.13
66.43                            7.64           125                 2227.13
66.43                            7.79           129                 2245.68
66.43                            7.79           129                 2245.68
66.43                            7.59           127                 2227.13
66.43                            7.60           127                 2227.13
66.43                            7.79           127                 2245.68
66.43                            7.81           129                 2245.68
66.43                            7.59           129                 2227.13
66.43                            7.71           131                 2227.13
66.43                            7.78           125                 2227.13
66.43                            7.79           125                 2245.68
66.43                            7.59           129                 2245.68
66.43                            7.59           129                 2227.13
66.43                            7.79           125                 2227.13
66.43                            7.81           124                 2227.13
66.43                            7.81           131                 2245.68
66.43                            7.57           129                 2227.13
66.43                            7.57           129                 2227.13
66.43                            7.57           125                 2227.13
66.43                            7.67           129                 2245.68
66.43                            7.60           131                 2245.68
66.43                            7.81           127                 2208.36
