=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.03.11 17:17:59 =~=~=~=~=~=~=~=~=~=~=~=

Initializing SD card...Card failed, or not present

Date & Time                  Temp (In Fahrenheit)          pH          TDS (In PPM)      Turbidity (In NTU)
2021/3/11 (Thursday) 5:19:37          74.64                 6.96               8               0.68
2021/3/11 (Thursday) 5:19:38          74.64                 6.96               6               0.71
2021/3/11 (Thursday) 5:19:39          74.64                 6.96               12               0.66
2021/3/11 (Thursday) 5:19:40          74.64                 6.97               8               0.70
2021/3/11 (Thursday) 5:19:41          74.64                 6.97               12               0.66
2021/3/11 (Thursday) 5:19:42          74.52                 6.97               6               0.70
2021/3/11 (Thursday) 5:19:43          74.64                 6.97               10               0.69
2021/3/11 (Thursday) 5:19:44          74.64                 6.96               6               0.67
2021/3/11 (Thursday) 5:19:45          74.64                 6.96               8               0.72
2021/3/11 (Thursday) 5:19:46          74.64                 6.99               10               0.68
2021/3/11 (Thursday) 5:19:47          74.64                 6.99               4               0.72
2021/3/11 (Thursday) 5:19:48          74.64                 6.97               8               0.68
2021/3/11 (Thursday) 5:19:49          74.52                 6.97               4               0.72
2021/3/11 (Thursday) 5:19:50          74.64                 6.96               8               0.68
2021/3/11 (Thursday) 5:19:51          74.64                 6.97               4               0.66
2021/3/11 (Thursday) 5:19:52          74.64                 6.97               10               0.70
2021/3/11 (Thursday) 5:19:53          74.64                 6.97               4               0.66
2021/3/11 (Thursday) 5:19:54          74.64                 6.97               4               0.70
2021/3/11 (Thursday) 5:19:55          74.64                 6.99               10               0.66
2021/3/11 (Thursday) 5:19:56          74.64                 6.97               6               0.72
2021/3/11 (Thursday) 5:19:57          74.64                 6.97               12               0.67
2021/3/11 (Thursday) 5:19:58          74.64                 6.96               4               0.72
2021/3/11 (Thursday) 5:19:59          74.64                 6.96               12               0.72
2021/3/11 (Thursday) 5:20:0          74.64                 6.97               6               0.68
2021/3/11 (Thursday) 5:20:1          74.64                 6.97               10               0.72
2021/3/11 (Thursday) 5:20:2          74.64                 6.99               8               0.67
2021/3/11 (Thursday) 5:20:3          74.64                 6.97               6               0.71
2021/3/11 (Thursday) 5:20:4          74.64                 6.97               10               0.66
2021/3/11 (Thursday) 5:20:5          74.64                 6.97               4               0.70
2021/3/11 (Thursday) 5:20:6          74.64                 6.97               10               0.66
2021/3/11 (Thursday) 5:20:7          74.64                 6.97               6               0.67
2021/3/11 (Thursday) 5:20:8          74.64                 6.97               10               0.72
2021/3/11 (Thursday) 5:20:9          74.64                 6.96               10               0.68
2021/3/11 (Thursday) 5:20:10          74.64                 6.97               6               0.72
2021/3/11 (Thursday) 5:20:11          74.64                 6.96               8               0.69
2021/3/11 (Thursday) 5:20:12          74.64                 6.97               6               0.71
2021/3/11 (Thursday) 5:20:13          74.64                 6.99               8               0.68
2021/3/11 (Thursday) 5:20:14          74.64                 6.97               4               0.70
2021/3/11 (Thursday) 5:20:15          74.64                 6.99               10               0.70
2021/3/11 (Thursday) 5:20:16          74.64                 6.96               4               0.66
2021/3/11 (Thursday) 5:20:17          74.64                 6.99               4               0.71
2021/3/11 (Thursday) 5:20:18          74.64                 6.97               12               0.67
2021/3/11 (Thursday) 5:20:19          74.64                 6.99               4               0.72
2021/3/11 (Thursday) 5:20:20          74.64                 6.99               10               0.68
2021/3/11 (Thursday) 5:20:21          74.64                 6.97               8               0.72
2021/3/11 (Thursday) 5:20:22          74.64                 6.99               10               0.72
2021/3/11 (Thursday) 5:20:23          74.64                 6.96               8               0.67
2021/3/11 (Thursday) 5:20:24          74.64                 6.96               10               0.70
2021/3/11 (Thursday) 5:20:25          74.75                 6.96               12               0.66
2021/3/11 (Thursday) 5:20:26          74.64                 6.99               4               0.70
2021/3/11 (Thursday) 5:20:27          74.52                 6.96               10               0.66
2021/3/11 (Thursday) 5:20:28          74.64                 6.97               4               0.72
2021/3/11 (Thursday) 5:20:29          74.64                 6.94               8               0.66
2021/3/11 (Thursday) 5:20:30          74.64                 6.96               4               0.67
2021/3/11 (Thursday) 5:20:31          74.52                 6.97               10               0.72
2021/3/11 (Thursday) 5:20:32          74.52                 6.97               4               0.68
2021/3/11 (Thursday) 5:20:33          74.52                 6.97               4               0.72
2021/3/11 (Thursday) 5:20:34          74.52                 6.96               8               0.67
2021/3/11 (Thursday) 5:20:35          74.52                 6.96               4               0.71
2021/3/11 (Thursday) 5:20:36          74.52                 6.99               12               0.66
2021/3/11 (Thursday) 5:20:37          74.52                 6.97               4               0.70
2021/3/11 (Thursday) 5:20:38          74.64                 6.96               8               0.70
2021/3/11 (Thursday) 5:20:39          74.64                 6.96               4               0.66
2021/3/11 (Thursday) 5:20:40          74.64                 6.97               4               0.71
2021/3/11 (Thursday) 5:20:41          74.64                 6.97               8               0.67
2021/3/11 (Thursday) 5:20:42          74.52                 6.97               6               0.72
2021/3/11 (Thursday) 5:20:43          74.64                 6.96               10               0.68
2021/3/11 (Thursday) 5:20:44          74.52                 6.97               6               0.72
2021/3/11 (Thursday) 5:20:45          74.64                 6.97               8               0.68
2021/3/11 (Thursday) 5:20:46          74.52                 6.97               6               0.67
2021/3/11 (Thursday) 5:20:47          74.64                 6.97               10               0.71
2021/3/11 (Thursday) 5:20:48          74.64                 6.96               8               0.66
2021/3/11 (Thursday) 5:20:49          74.52                 6.96               4               0.70
2021/3/11 (Thursday) 5:20:50          74.64                 6.96               10               0.66
2021/3/11 (Thursday) 5:20:51          74.52                 6.97               6               0.70
2021/3/11 (Thursday) 5:20:52          74.64                 6.97               10               0.66
2021/3/11 (Thursday) 5:20:53          74.52                 6.96               4               0.67
2021/3/11 (Thursday) 5:20:54          74.64                 6.96               8               0.71
2021/3/11 (Thursday) 5:20:55          74.64                 6.97               6               0.68
2021/3/11 (Thursday) 5:20:56          74.64                 6.96               6               0.72
2021/3/11 (Thursday) 5:20:57          74.64                 6.97               10               0.66
2021/3/11 (Thursday) 5:20:58          74.52                 6.96               6               0.72
2021/3/11 (Thursday) 5:20:59          74.64                 6.97               10               0.67
2021/3/11 (Thursday) 5:21:0          74.64                 6.99               6               0.71
2021/3/11 (Thursday) 5:21:1          74.64                 6.99               10               0.70
2021/3/11 (Thursday) 5:21:2          74.64                 6.99               6               0.66
2021/3/11 (Thursday) 5:21:3          74.64                 6.97               10               0.70
2021/3/11 (Thursday) 5:21:4          74.64                 6.97               12               0.67
2021/3/11 (Thursday) 5:21:5          74.52                 6.99               4               0.71
2021/3/11 (Thursday) 5:21:6          74.52                 6.97               10               0.66
2021/3/11 (Thursday) 5:21:7          74.52                 6.97               8               0.72
2021/3/11 (Thursday) 5:21:8          74.52                 6.96               8               0.68
2021/3/11 (Thursday) 5:21:9          74.52                 6.96               4               0.68
2021/3/11 (Thursday) 5:21:10          74.64                 6.99               10               0.73
2021/3/11 (Thursday) 5:21:11          74.64                 6.97               10               0.68
2021/3/11 (Thursday) 5:21:12          74.52                 6.96               4               0.71
2021/3/11 (Thursday) 5:21:13          74.64                 6.97               10               0.67
2021/3/11 (Thursday) 5:21:14          74.52                 6.96               6               0.71
2021/3/11 (Thursday) 5:21:15          74.64                 6.97               10               0.66
2021/3/11 (Thursday) 5:21:16          74.52                 6.97               4               0.70
2021/3/11 (Thursday) 5:21:17          74.64                 6.97               10               0.70
2021/3/11 (Thursday) 5:21:18          74.52                 6.96               4               0.66
2021/3/11 (Thursday) 5:21:19          74.52                 6.97               10               0.71
2021/3/11 (Thursday) 5:21:20          74.64                 6.94               10               0.67
2021/3/11 (Thursday) 5:21:21          74.52                 6.97               6               0.73
2021/3/11 (Thursday) 5:21:22          74.64                 6.97               10               0.68
2021/3/11 (Thursday) 5:21:23          74.52                 6.96               4               0.73
2021/3/11 (Thursday) 5:21:24          74.64                 6.97               10               0.67
2021/3/11 (Thursday) 5:21:25          74.52                 6.96               6               0.67
2021/3/11 (Thursday) 5:21:26          74.52                 6.99               6               0.72
2021/3/11 (Thursday) 5:21:27          74.52                 6.97               8               0.66
